"id","name","longname","alpha","code","code_two","my_train_code","anglia_code","national_rail_code"
257,"BEMPTON","Bempton Rail Station","\N","BEM","BEMPTON","5f3e3a6d-3d2c-4c74-8ecd-c0386d8b4064",NULL,NULL
258,"BEN RHYDDING","Ben Rhydding Rail Station","\N","BEY","BNRHYDN","7dd9d787-691b-46f0-896e-f3f6d0a93e96",NULL,NULL
259,"Benchill Metrolink","\N","\N","BNK","BENMTLK","",NULL,NULL
260,"BENFLEET","Benfleet Rail Station","\N","BEF","BENFLET","a58c7040-06dc-4cc2-a180-b89bc23dcfdb",NULL,NULL
262,"BENTLEY","Bentley (Hants) Rail Station","\N","BTY","BNTEY","fd04d3cd-91ea-44bc-9940-a2fd9595df87",NULL,NULL
264,"BERE ALSTON","Bere Alston Rail Station","\N","BAS","BEREALS","fb09e196-d4e5-4621-a568-53ccdf1bd5a7",NULL,NULL
265,"BERE FERRERS","Bere Ferrers Rail Station","\N","BFE","BEREFRS","bb5bbb97-5954-4c01-88fd-eecf86f7ee22",NULL,NULL
266,"BERKHAMSTED","Berkhamsted Rail Station","\N","BKM","BERKHMD","bd3e93eb-cc9c-4290-b0d4-6806118e9146",NULL,NULL
268,"BERMUDA PARK","\N","\N","BEP","BERMPRK","be362922-369d-4baf-a731-76ed9b1dcb29",NULL,NULL
269,"BERNEY ARMS","Berney Arms Rail Station","\N","BYA","BRNYARM","e060b925-adb8-4d6c-ba85-c4a3e97e966a",NULL,NULL
202,"BARNWOOD JN","\N","\N","GCR","BNWDJN","00624f8d-ab76-4e36-bbfd-b72a98030d1d",NULL,NULL
271,"BERRYLANDS","Berrylands Rail Station","\N","BRS","BRLANDS","ea412285-cabc-4742-92ea-a8a21a34dd19",NULL,NULL
273,"BERWICK-UPON-TWEED","Berwick-upon-Tweed Rail Station","\N","BWK","BRWCKUT","f40d2a64-4e1a-47b7-9976-ce867ba27bcc",NULL,NULL
274,"BESCAR LANE","Bescar Lane Rail Station","\N","BES","BESCRLA","eb511e5e-c094-4707-aa5b-4ff5c7fb23ef",NULL,NULL
276,"BESSES O TH BARN","\N","\N","BOB","BSTBARN","",NULL,NULL
279,"BETHNAL GREEN","Bethnal Green Rail Station","\N","BET","BTHNLGR","694ffa01-1374-4431-a740-e11a4582cb2a",NULL,NULL
277,"BETCHWORTH","Betchworth Rail Station","\N","BTO","BTCHWTH","a715d2d9-3853-4ca0-a25e-f2701afb828f",NULL,NULL
280,"BETWS-Y-COED","Betws-y-Coed Rail Station","\N","BYC","BETSYCD","45f7069e-0572-4be6-9cdb-05c48c4ddaa4",NULL,NULL
281,"BEVERLEY","Beverley Rail Station","\N","BEV","BEVERLY","55d37443-fb99-45e5-b998-f132c97bc452",NULL,NULL
282,"BEXHILL","Bexhill Rail Station","\N","BEX","BEXHILL","135e1eee-b97d-4a2b-b79c-aa0fbb250941",NULL,NULL
284,"BEXLEYHEATH","Bexleyheath Rail Station","\N","BXH","BXLYHTH","5eede838-540b-48a4-8ee0-1d743696e13b",NULL,NULL
286,"BICESTER VILLAGE","Bicester Town Rail Station","BICESTER TOWN","BIT","BCSTRTN","aa3bd35b-b018-4da5-8f74-2192ee613d27",NULL,NULL
287,"BICKLEY","Bickley Rail Station","\N","BKL","BICKLEY","c7dbd690-946f-4865-a5f2-22f65237f930",NULL,NULL
288,"BIDSTON","Bidston Rail Station","\N","BID","BDSTON","37871f22-ceaf-41aa-b388-1967a704a2ce",NULL,NULL
290,"BILBROOK","Bilbrook Rail Station","\N","BBK","BILBROK","ca088bda-7e65-481e-b05a-107d8dcb1104",NULL,NULL
291,"BILLERICAY","Billericay Rail Station","\N","BIC","BILERCY","4f05f317-33ff-4d3b-a59f-f17037df022a",NULL,NULL
293,"BILLINGSHURST","Billingshurst Rail Station","\N","BIG","BILSHST","1cb9e270-b3f9-4171-80de-20bf7aca9376",NULL,NULL
294,"BINGHAM","Bingham Rail Station","\N","BIN","BINGHAM","ee246758-2ebb-42d6-bcc1-92f58a38e6e4",NULL,NULL
296,"BIRCHGROVE","Birchgrove Rail Station","LLWYNBEDW","BCG","BCHGRV","0da3bfa3-89d2-41e4-bf6a-1073b0655cc9",NULL,NULL
